arrival_ns,in_view,used_in_fix,mean_cn0_dbhz,top_cn0_dbhz,gps,glonass,galileo,beidou,qzss,other
287051835329775,1,0,25.00,25.00,0,1,0,0,0,0
287052830483174,1,0,26.00,26.00,0,1,0,0,0,0
287053826316143,1,0,26.00,26.00,0,1,0,0,0,0
287054826188057,1,0,26.00,26.00,0,1,0,0,0,0
287055827579854,1,0,25.90,25.90,0,1,0,0,0,0
