stream,event_ns,arrival_ns,accuracy,v0,v1,v2,v3,v4,v5
accelerometer_uncalibrated,287043471327070,287043473835283,3,-1.520318,4.817134,8.214506,0.000000,0.000000,0.000000
magnetic_field_uncalibrated,287043479335156,287043482381065,3,17.328001,-20.379002,-143.295013,7.643000,24.008001,-125.220009
gyroscope_uncalibrated,287043479335156,287043482474658,3,-0.028100,-0.006109,0.050091,0.004887,0.003665,0.000000
accelerometer_uncalibrated,287043479335156,287043482493760,3,-1.448492,4.824317,8.331821,0.000000,0.000000,0.000000
magnetic_field_uncalibrated,287043487347031,287043489564346,3,18.271002,-20.108002,-143.734009,7.644001,24.008001,-125.219009
gyroscope_uncalibrated,287043487347031,287043489663330,3,-0.031154,-0.010996,0.049480,0.004887,0.003665,0.000000
accelerometer_uncalibrated,287043487347031,287043489685479,3,-1.357512,4.814740,8.432379,0.000000,0.000000,0.000000
magnetic_field_uncalibrated,287043495355546,287043498203994,3,18.906000,-21.049002,-143.411011,7.644001,24.007002,-125.220009
gyroscope_uncalibrated,287043495355546,287043498725205,3,-0.024435,-0.002443,0.039095,0.004887,0.003665,0.000000
accelerometer_uncalibrated,287043495355546,287043498780205,3,-1.297657,4.788404,8.499416,0.000000,0.000000,0.000000
magnetic_field_uncalibrated,287043503363554,287043505993682,3,18.153002,-22.027000,-142.322006,7.644001,24.008001,-125.220009
gyroscope_uncalibrated,287043503363554,287043506057432,3,-0.009774,0.005498,0.029932,0.004887,0.003665,0.000000
accelerometer_uncalibrated,287043503363554,287043506074385,3,-1.283292,4.764462,8.516175,0.000000,0.000000,0.000000
magnetic_field_uncalibrated,287043511370195,287043513870205,3,17.736000,-21.251001,-143.078003,7.644001,24.008001,-125.219009
gyroscope_uncalibrated,287043511370195,287043514906143,3,0.006109,0.000611,0.025045,0.004887,0.003665,0.000000
accelerometer_uncalibrated,287043511370195,287043515245947,3,-1.338359,4.788404,8.532935,0.000000,0.000000,0.000000
magnetic_field_uncalibrated,287043519378203,287043521714619,3,18.293001,-19.742001,-143.952011,7.644001,24.008001,-125.220009
gyroscope_uncalibrated,287043519378203,287043521746025,3,0.012217,-0.014050,0.024435,0.004887,0.003665,0.000000
accelerometer_uncalibrated,287043519378203,287043521853330,3,-1.359907,4.814740,8.520964,0.000000,0.000000,0.000000
magnetic_field_uncalibrated,287043527388554,287043529235674,3,18.605001,-20.261002,-144.167999,7.644001,24.008001,-125.220009
gyroscope_uncalibrated,287043527388554,287043529313252,3,0.017715,-0.031154,0.026267,0.004887,0.003665,0.000000
accelerometer_uncalibrated,287043527388554,287043529331377,3,-1.316811,4.860229,8.494628,0.000000,0.000000,0.000000
magnetic_field_uncalibrated,287043535398320,287043541625322,3,18.328001,-21.014002,-143.514999,7.644001,24.008001,-125.220009
gyroscope_uncalibrated,287043535398320,287043541708135,3,0.012828,-0.025045,0.020159,0.004887,0.003665,0.000000
accelerometer_uncalibrated,287043535398320,287043541989463,3,-1.247379,4.862624,8.494628,0.000000,0.000000,0.000000
magnetic_field_uncalibrated,287043543408984,287043545571104,3,17.735001,-20.994001,-145.562012,7.644001,24.008001,-125.219009
gyroscope_uncalibrated,287043543408984,287043545622158,3,0.007330,0.000611,0.007941,0.004887,0.003665,0.000000
accelerometer_uncalibrated,287043543408984,287043545637627,3,-1.197101,4.850653,8.523358,0.000000,0.000000,0.000000
magnetic_field_uncalibrated,287043551420195,287043554793994,3,17.960001,-20.980001,-146.643005,7.644001,24.007002,-125.219009
gyroscope_uncalibrated,287043551420195,287043555146260,3,0.006109,0.027489,-0.000611,0.004887,0.003665,0.000000
accelerometer_uncalibrated,287043551420195,287043555876650,3,-1.204283,4.838682,8.537724,0.000000,0.000000,0.000000
magnetic_field_uncalibrated,287043559427890,287043561499854,3,18.193001,-21.129002,-145.025009,7.644001,24.007002,-125.220009
gyroscope_uncalibrated,287043559427890,287043561558760,3,0.001222,0.061087,-0.012828,0.004887,0.003665,0.000000
accelerometer_uncalibrated,287043559427890,287043561574932,3,-1.295263,4.860229,8.542512,0.000000,0.000000,0.000000
magnetic_field_uncalibrated,287043567436054,287043570098604,3,18.407001,-21.469002,-144.377014,7.644001,24.007002,-125.219009
gyroscope_uncalibrated,287043567436054,287043570152354,3,0.002443,0.076358,-0.010996,0.004887,0.003665,0.000000
accelerometer_uncalibrated,287043567436054,287043570166416,3,-1.374272,4.896142,8.583213,0.000000,0.000000,0.000000
magnetic_field_uncalibrated,287043575443632,287043577543252,3,18.665001,-21.164001,-143.517014,7.644001,24.007002,-125.220009
gyroscope_uncalibrated,287043575443632,287043577604502,3,0.003665,0.070250,-0.003665,0.004887,0.003665,0.000000
accelerometer_uncalibrated,287043575443632,287043577622666,3,-1.443704,4.908113,8.602366,0.000000,0.000000,0.000000
magnetic_field_uncalibrated,287043583455273,287043587809893,3,18.322001,-21.277000,-141.786011,7.644001,24.007002,-125.219009
gyroscope_uncalibrated,287043583455273,287043588017783,3,0.006109,0.066584,0.001222,0.004887,0.003665,0.000000
accelerometer_uncalibrated,287043583455273,287043588472510,3,-1.470040,4.898537,8.549694,0.000000,0.000000,0.000000
magnetic_field_uncalibrated,287043591465820,287043593772822,3,18.067001,-21.579000,-142.323013,7.644001,24.008001,-125.219009
gyroscope_uncalibrated,287043591465820,287043594207979,3,0.010385,0.062919,0.011606,0.004887,0.003665,0.000000
accelerometer_uncalibrated,287043591465820,287043594500127,3,-1.465251,4.865018,8.518570,0.000000,0.000000,0.000000
magnetic_field_uncalibrated,287043599471562,287043603024072,3,17.359001,-21.483002,-145.018005,7.644001,24.008001,-125.220009
gyroscope_uncalibrated,287043599471562,287043603270791,3,0.015272,0.053145,0.026878,0.004887,0.003665,0.000000
accelerometer_uncalibrated,287043599471562,287043603875869,3,-1.453280,4.855441,8.501810,0.000000,0.000000,0.000000
magnetic_field_uncalibrated,287043607475898,287043609484658,3,17.632000,-20.820002,-145.346008,7.644001,24.007002,-125.219009
gyroscope_uncalibrated,287043607475898,287043609637080,3,0.023213,0.039706,0.029322,0.004887,0.003665,0.000000
accelerometer_uncalibrated,287043607475898,287043610018682,3,-1.405396,4.862624,8.523358,0.000000,0.000000,0.000000
magnetic_field_uncalibrated,287043615481640,287043618047471,3,18.009001,-20.588001,-143.407013,7.644001,24.007002,-125.220009
gyroscope_uncalibrated,287043615481640,287043618099150,3,0.031765,0.026878,0.033598,0.004887,0.003665,0.000000
accelerometer_uncalibrated,287043615481640,287043618116885,3,-1.364695,4.838682,8.501810,0.000000,0.000000,0.000000
magnetic_field_uncalibrated,287043623488164,287043625631025,3,17.188002,-20.843000,-142.428009,7.644001,24.008001,-125.219009
gyroscope_uncalibrated,287043623488164,287043625692940,3,0.043371,0.026267,0.028100,0.004887,0.003665,0.000000
accelerometer_uncalibrated,287043623488164,287043625712900,3,-1.331176,4.838682,8.473080,0.000000,0.000000,0.000000
magnetic_field_uncalibrated,287043631494765,287043634970283,3,17.255001,-21.396002,-144.154007,7.644001,24.008001,-125.220009
gyroscope_uncalibrated,287043631494765,287043635030518,3,0.054978,0.020769,0.020159,0.004887,0.003665,0.000000
accelerometer_uncalibrated,287043631494765,287043635048838,3,-1.307234,4.838682,8.451532,0.000000,0.000000,0.000000
magnetic_field_uncalibrated,287043639501718,287043644638096,3,17.212000,-21.953001,-144.907013,7.644001,24.008001,-125.219009
gyroscope_uncalibrated,287043639501718,287043644886885,3,0.062919,0.015272,0.015272,0.004887,0.003665,0.000000
accelerometer_uncalibrated,287043639501718,287043644969307,3,-1.326388,4.848258,8.370130,0.000000,0.000000,0.000000
magnetic_field_uncalibrated,287043647505156,287043651053369,3,16.267000,-20.578001,-144.042999,7.644001,24.008001,-125.220009
gyroscope_uncalibrated,287043647505156,287043651255830,3,0.060476,0.009774,0.012828,0.004887,0.003665,0.000000
accelerometer_uncalibrated,287043647505156,287043651639307,3,-1.319205,4.860229,8.315063,0.000000,0.000000,0.000000
magnetic_field_uncalibrated,287043655510273,287043657954150,3,16.518002,-20.195002,-144.910004,7.644001,24.007002,-125.220009
gyroscope_uncalibrated,287043655510273,287043658163174,3,0.057421,0.007941,0.010385,0.004887,0.003665,0.000000
accelerometer_uncalibrated,287043655510273,287043658209541,3,-1.323994,4.865018,8.240842,0.000000,0.000000,0.000000
magnetic_field_uncalibrated,287043663517343,287043666487940,3,17.428001,-20.470001,-144.699005,7.644001,24.008001,-125.220009
gyroscope_uncalibrated,287043663517343,287043666619893,3,0.044593,0.009163,0.007330,0.004887,0.003665,0.000000
accelerometer_uncalibrated,287043663517343,287043666668525,3,-1.347936,4.862624,8.154651,0.000000,0.000000,0.000000
magnetic_field_uncalibrated,287043671524179,287043674019346,3,17.437000,-20.290001,-145.131012,7.644001,24.007002,-125.219009
gyroscope_uncalibrated,287043671524179,287043674074815,3,0.028711,0.012217,0.009163,0.004887,0.003665,0.000000
accelerometer_uncalibrated,287043671524179,287043674092627,3,-1.347936,4.874595,8.106767,0.000000,0.000000,0.000000
magnetic_field_uncalibrated,287043679529726,287043684620479,3,16.325001,-21.312000,-145.336014,7.644001,24.007002,-125.220009
gyroscope_uncalibrated,287043679529726,287043684841729,3,0.004887,0.011606,0.011606,0.004887,0.003665,0.000000
accelerometer_uncalibrated,287043679529726,287043685285518,3,-1.357512,4.876989,8.097190,0.000000,0.000000,0.000000
magnetic_field_uncalibrated,287043687536328,287043690555127,3,16.417002,-21.754002,-144.579010,7.644001,24.008001,-125.220009
gyroscope_uncalibrated,287043687536328,287043690927041,3,-0.021380,0.001222,0.012217,0.004887,0.003665,0.000000
accelerometer_uncalibrated,287043687536328,287043692010244,3,-1.326388,4.881777,8.140285,0.000000,0.000000,0.000000
magnetic_field_uncalibrated,287043695541484,287043699186299,3,17.698000,-21.718000,-144.048004,7.644001,24.007002,-125.220009
gyroscope_uncalibrated,287043695541484,287043699764854,3,-0.034819,-0.003665,0.007941,0.004887,0.003665,0.000000
accelerometer_uncalibrated,287043695541484,287043700501807,3,-1.312023,4.896142,8.164227,0.000000,0.000000,0.000000
magnetic_field_uncalibrated,287043703547382,287043706673955,3,18.325001,-21.017000,-143.839005,7.644001,24.007002,-125.220009
gyroscope_uncalibrated,287043703547382,287043706961494,3,-0.051924,-0.004276,0.006109,0.004887,0.003665,0.000000
accelerometer_uncalibrated,287043703547382,287043707380596,3,-1.314417,4.888960,8.231265,0.000000,0.000000,0.000000
magnetic_field_uncalibrated,287043711555312,287043714607627,3,17.524000,-20.909000,-143.402008,7.644001,24.007002,-125.220009
gyroscope_uncalibrated,287043711555312,287043714810713,3,-0.065363,-0.006109,-0.001833,0.004887,0.003665,0.000000
accelerometer_uncalibrated,287043711555312,287043715228291,3,-1.338359,4.876989,8.291121,0.000000,0.000000,0.000000
magnetic_field_uncalibrated,287043719564375,287043722498447,3,16.581001,-21.181002,-143.179001,7.644001,24.008001,-125.220009
gyroscope_uncalibrated,287043719564375,287043722703018,3,-0.072082,-0.005498,-0.005498,0.004887,0.003665,0.000000
accelerometer_uncalibrated,287043719564375,287043723118252,3,-1.364695,4.848258,8.391677,0.000000,0.000000,0.000000
