Time since start (ms),ACCELEROMETER X (m/s^2),ACCELEROMETER Y (m/s^2),ACCELEROMETER Z (m/s^2),GRAVITY X (m/s^2),GRAVITY Y (m/s^2),GRAVITY Z (m/s^2),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),MAGNETIC FIELD X (uT),MAGNETIC FIELD Y (uT),MAGNETIC FIELD Z (uT),ORIENTATION (yaw deg),ORIENTATION (pitch deg),ORIENTATION (roll deg),GPS Latitude (deg),GPS Longitude (deg),GPS Altitude (m),GPS Speed (m/s),GPS Accuracy (m),GPS Orientation (deg),Satellites in range,DATE (YYYY-MO-DD HH-MI-SS_SSS)
112.1,-1.563414,4.848258,8.173804,-1.432719,4.878867,8.385366,0.009774,0.032987,0.021991,8.942000,-46.660004,-19.680000,-168.530,-29.835,9.696,,,,,,,,2026-09-13 03:08:54.765
208.2,-1.244985,4.884171,8.480263,-1.415449,4.876922,8.389429,0.001222,0.023824,-0.000611,10.316001,-44.987003,-21.424002,-167.653,-29.822,9.577,,,,,,,,2026-09-13 03:08:54.861
312.3,-1.364695,4.910508,8.183381,-1.440881,4.895386,8.374333,0.052534,0.004276,0.010385,8.874001,-44.202003,-19.690001,-167.472,-29.946,9.763,,,,,,,,2026-09-13 03:08:54.965
408.4,-1.436521,4.848258,8.453926,-1.432206,4.878192,8.385846,-0.045815,-0.022602,0.012828,9.421000,-43.219002,-17.215000,-167.579,-29.831,9.692,,,,,,,,2026-09-13 03:08:55.061
504.5,-1.343147,4.826711,8.511387,-1.402779,4.856090,8.403629,-0.012217,0.018326,0.010385,11.038000,-45.069000,-16.894001,-167.823,-29.682,9.477,,,,,,,,2026-09-13 03:08:55.157
608.7,-1.204283,4.807557,8.499416,-1.354754,4.867683,8.404801,0.002443,-0.045815,0.057421,8.660001,-44.206001,-17.206001,-167.792,-29.760,9.157,,,,,,,,2026-09-13 03:08:55.261
704.8,-1.161188,4.879383,8.293514,-1.300437,4.907632,8.390138,0.120340,-0.125227,0.058643,7.938000,-42.732002,-18.395000,-167.939,-30.029,8.811,,,,,,,,2026-09-13 03:08:55.358
808.9,-0.960075,5.018247,8.437167,-1.249934,4.914613,8.393726,0.018326,-0.114232,0.060476,9.541000,-43.204002,-16.676001,-168.236,-30.076,8.470,,,,,,,,2026-09-13 03:08:55.462
905.0,-1.142034,5.039794,8.858546,-1.234085,4.921725,8.391904,-0.009163,0.144775,0.016493,8.386001,-43.134003,-16.776001,-167.491,-30.124,8.366,,,,,,,,2026-09-13 03:08:55.558
1009.0,-1.233014,5.042189,8.022970,-1.297021,5.027277,8.319531,0.128893,0.053756,0.006109,8.357000,-43.592003,-16.558001,-167.672,-30.840,8.861,,,,,,,,2026-09-13 03:08:55.662
1105.1,-1.288081,5.013458,8.336611,-1.297141,5.066615,8.295615,0.009163,-0.012217,-0.007941,8.059000,-44.623001,-16.228001,-167.353,-31.108,8.887,,,,,,,,2026-09-13 03:08:55.758
1209.1,-1.211466,5.075707,8.516175,-1.232365,5.115119,8.275701,0.163712,-0.078191,0.036041,8.555000,-44.205002,-15.586000,-167.397,-31.439,8.470,,,,,,,,2026-09-13 03:08:55.862
1305.2,-1.034295,5.382165,7.917625,-1.093461,5.300745,8.177826,0.365908,-0.335976,0.099571,8.951000,-45.089001,-16.880001,-167.640,-32.719,7.616,,,,,,,,2026-09-13 03:08:55.958
1409.3,-0.644040,5.810728,8.276755,-0.887497,5.513229,8.061455,0.201586,-0.276722,-0.118508,7.970000,-44.521004,-13.421000,-168.411,-34.208,6.282,,,,,,,,2026-09-13 03:08:56.062
1505.4,0.727837,5.930438,8.573636,-0.608288,5.760681,7.912960,0.409280,-0.586431,-0.342085,7.485000,-45.100002,-11.040001,-166.601,-35.975,4.396,,,,,,,,2026-09-13 03:08:56.158
1609.5,0.943315,6.564901,6.651093,0.126636,6.512538,7.330839,1.158811,-1.527163,-0.828333,8.939000,-45.873001,-11.155001,-162.110,-41.613,-0.990,,,,,,,,2026-09-13 03:08:56.262
1705.6,0.679953,6.742072,5.954380,0.632173,7.151168,6.680685,0.725097,-1.460579,-0.690889,10.756001,-45.122002,-7.175000,-155.805,-46.821,-5.406,,,,,,,,2026-09-13 03:08:56.358
1809.7,0.660800,7.029376,6.612785,0.765951,7.340972,6.457077,-0.207083,-0.645685,-0.759916,13.318001,-43.142002,-7.632000,-149.268,-48.467,-6.765,,,,,,,,2026-09-13 03:08:56.462
1905.8,0.632069,6.995857,6.303933,0.527955,7.216496,6.619201,-0.254120,-0.197920,-0.670119,16.957001,-41.726002,-8.634001,-143.862,-47.381,-4.560,,,,,,,,2026-09-13 03:08:56.559
2009.9,0.007183,6.469133,6.363788,0.043956,6.883378,6.984809,-0.704328,0.188147,-0.693943,18.535002,-38.961002,-9.950001,-138.453,-44.580,-0.361,,,,,,,,2026-09-13 03:08:56.663
2106.0,-1.326388,5.645528,6.952762,-0.447883,6.355446,7.455072,-0.905302,0.635300,-0.611476,20.715000,-36.747002,-11.161000,-133.887,-40.397,3.438,,,,,,,,2026-09-13 03:08:56.759
2210.1,-2.592921,4.642357,7.790732,-1.573561,5.375016,8.050062,-1.540602,1.918728,0.021380,24.656002,-32.922001,-13.793000,-132.991,-33.237,11.060,,,,,,,,2026-09-13 03:08:56.863
2306.2,-3.971981,4.024653,8.870518,-3.084115,4.249115,8.282731,-1.138042,1.653001,-0.265726,27.407001,-35.068001,-14.018001,-135.161,-25.676,20.423,,,,,,,,2026-09-13 03:08:56.959
2410.2,-5.451597,4.113238,8.420407,-3.674348,3.940395,8.194074,0.472810,-0.601091,-0.044593,30.114002,-34.356003,-14.903001,-133.976,-23.691,24.152,,,,,,,,2026-09-13 03:08:57.063
2506.3,-3.873818,4.450821,7.105990,-3.080613,4.505258,8.147569,0.601091,-0.588263,0.380569,27.472002,-32.849003,-15.217001,-133.548,-27.349,20.712,,,,,,,,2026-09-13 03:08:57.159
2610.3,-2.942474,4.625597,8.238448,-2.648868,4.865947,8.091752,0.224188,-0.759916,0.230907,25.450001,-35.417000,-14.869000,-134.800,-29.748,18.126,,,,,,,,2026-09-13 03:08:57.263
2706.4,-1.750161,4.975151,9.078813,-2.000486,5.132345,8.113414,0.472199,-0.767247,0.329867,23.368002,-36.994003,-15.712001,-136.094,-31.557,13.851,,,,,,,,2026-09-13 03:08:57.359
2802.4,-0.703895,5.901707,7.524976,-1.158751,5.623173,7.950322,0.491747,-0.605978,0.431882,20.040001,-38.316002,-15.037001,-138.096,-34.988,8.292,,,,,,,,2026-09-13 03:08:57.455
2906.5,-0.428562,5.901707,7.189788,-0.345726,6.016854,7.736170,0.392786,-0.625526,0.251066,17.677000,-39.087002,-14.154000,-140.750,-37.847,2.559,,,,,,,,2026-09-13 03:08:57.559
3010.5,-0.126893,6.265626,7.472303,-0.105029,6.112228,7.668117,-0.092852,0.200975,0.018326,17.920000,-40.618000,-14.581000,-142.161,-38.556,0.785,,,,,,,,2026-09-13 03:08:57.663
3106.5,0.153229,5.995081,7.331046,-0.095819,6.111712,7.668650,-0.029322,-0.070250,0.132558,14.954000,-39.988003,-13.917001,-142.662,-38.552,0.716,,,,,,,,2026-09-13 03:08:57.759
3210.6,0.059855,6.038177,7.706935,0.004770,6.056074,7.713257,-0.084910,-0.053145,0.114843,16.105001,-39.890003,-15.868001,-143.229,-38.137,-0.035,,,,,,,,2026-09-13 03:08:57.863
3306.6,0.114922,5.963956,7.838616,-0.029942,5.931190,7.809640,-0.285274,0.267559,0.086132,16.257000,-39.586002,-13.603001,-144.600,-37.215,0.220,,,,,,,,2026-09-13 03:08:57.959
3410.6,-0.213084,5.832275,8.073248,-0.071609,5.779522,7.922272,-0.123395,0.173486,0.216246,14.602000,-39.938004,-14.994000,-146.242,-36.111,0.518,,,,,,,,2026-09-13 03:08:58.063
3506.7,-0.390255,5.580884,8.176199,-0.094944,5.711805,7.970988,-0.071471,0.186314,0.283441,13.620001,-40.764004,-14.984001,-148.121,-35.622,0.682,,,,,,,,2026-09-13 03:08:58.159
3610.8,-0.337582,5.576096,7.958326,-0.143677,5.669843,8.000164,-0.097128,0.249233,0.450208,13.312000,-40.154003,-14.985001,-150.667,-35.321,1.029,,,,,,,,2026-09-13 03:08:58.264
3706.9,-0.316035,5.669470,8.281544,-0.163341,5.602448,8.047130,0.001833,0.266948,0.560163,10.488001,-42.271004,-17.548000,-153.841,-34.840,1.163,,,,,,,,2026-09-13 03:08:58.360
