stream,event_ns,arrival_ns,accuracy,v0,v1,v2,v3,v4,v5
magnetic_field_uncalibrated,287217245046953,287217248640400,3,8.146001,-8.425000,-161.205002,6.954000,23.429001,-125.219009
gyroscope_uncalibrated,287217245046953,287217248728057,3,0.156382,0.343306,-0.004276,0.004887,0.003054,0.000000
accelerometer_uncalibrated,287217245046953,287217248805127,3,0.253785,0.117316,10.347740,0.000000,0.000000,0.000000
magnetic_field_uncalibrated,287217253050351,287217256099229,3,8.356000,-8.598001,-162.717010,6.954000,23.429001,-125.219009
gyroscope_uncalibrated,287217253050351,287217256208096,3,0.210749,0.437380,-0.010385,0.004887,0.003054,0.000000
accelerometer_uncalibrated,287217253050351,287217256307588,3,-0.052672,0.239420,10.115502,0.000000,0.000000,0.000000
magnetic_field_uncalibrated,287217261051757,287217263775283,3,7.805000,-8.365001,-160.879013,6.954000,23.429001,-125.219009
gyroscope_uncalibrated,287217261051757,287217263864229,3,0.127060,0.254120,-0.004276,0.004887,0.003054,0.000000
accelerometer_uncalibrated,287217261051757,287217263972315,3,-0.339977,0.397437,9.327810,0.000000,0.000000,0.000000
magnetic_field_uncalibrated,287217269056875,287217271901065,3,6.885000,-8.442000,-159.146011,6.953001,23.429001,-125.220009
gyroscope_uncalibrated,287217269056875,287217271962041,3,-0.032987,-0.071471,0.002443,0.004887,0.003054,0.000000
accelerometer_uncalibrated,287217269056875,287217272223018,3,-0.387861,0.411803,9.030929,0.000000,0.000000,0.000000
magnetic_field_uncalibrated,287217277060859,287217280171924,3,6.080000,-8.167001,-160.869003,6.953001,23.429001,-125.220009
gyroscope_uncalibrated,287217277060859,287217280249463,3,-0.120340,-0.249233,0.003054,0.004887,0.003054,0.000000
accelerometer_uncalibrated,287217277060859,287217280535596,3,-0.191536,0.301669,9.567230,0.000000,0.000000,0.000000
magnetic_field_uncalibrated,287217285062539,287217289674658,3,6.798000,-7.738000,-161.739014,6.953001,23.429001,-125.220009
gyroscope_uncalibrated,287217285062539,287217290083369,3,-0.130725,-0.286496,0.006109,0.004887,0.003054,0.000000
accelerometer_uncalibrated,287217285062539,287217290487666,3,0.064643,0.189142,10.050858,0.000000,0.000000,0.000000
